EventNumber,TriggerBits,Timestamp
110169,1000111,1989-09-29 14:02:01
110170,1000111,1989-09-29 14:02:01
110171,11101000,1989-09-29 14:02:02
110172,11101000,1989-09-29 14:02:02
110173,1000111,1989-09-29 14:02:03
110174,11101000,1989-09-29 14:02:03
110175,1000111,1989-09-29 14:02:03
110176,1000111,1989-09-29 14:02:04
110177,11101000,1989-09-29 14:02:04
110178,1000111,1989-09-29 14:02:07
110179,1000111,1989-09-29 14:02:08
110180,11101000,1989-09-29 14:02:09
110181,1000111,1989-09-29 14:02:09
110182,1000111,1989-09-29 14:02:09
110183,11101000,1989-09-29 14:02:10
